"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"Rpl9",164,61,82,158,157,153,134,123,189,96,184,93,183,92,113
"Rplp0",30110,17049,32590,32663,27795,39132,25750,31531,34944,28707,44252,35378,50379,34722,33535
"Rplp1",4563,1998,3584,5088,4073,3726,2990,3129,3030,3023,4169,3379,4308,2875,4172
"Rplp2",1025,493,910,1049,1005,929,767,763,715,783,1132,1074,1295,1040,1209
"Rplp2-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpn1",10455,17240,29330,10711,21662,28875,21017,32433,26311,26637,30335,44092,30193,30175,28181
"Rpn2",12582,18651,35906,14410,27880,38890,28641,38206,37745,33850,30447,42105,33097,40251,40322
"Rpp14",1336,1591,1786,1586,1626,1750,1561,1833,1579,2005,1579,2361,1978,1639,1468
"Rpp21",520,425,463,609,549,444,389,566,332,459,681,666,613,386,640
"Rpp25",86,81,12,80,2,1,15,4,5,25,11,0,0,20,10
"Rpp25l",723,518,416,509,488,217,273,349,212,335,450,687,400,378,374
"Rpp30",910,852,836,1141,1062,845,744,967,692,1002,619,820,824,406,1185
"Rpp38",519,284,889,431,769,883,1064,792,765,920,1297,874,1278,973,888
"Rpp40",309,290,239,340,230,142,142,177,142,193,152,264,163,184,163
"Rpph1",339,79,509,262,520,583,245,428,377,272,1657,1450,1881,404,727
"Rprd1a",874,1076,1219,1191,1517,1231,1097,1547,961,1229,697,670,823,554,796
"Rprd1b",1852,2662,3782,1891,2941,3391,2845,3961,3486,3421,2539,2864,2698,2269,3094
"Rprd2",690,801,426,823,997,926,590,1011,782,734,546,922,608,244,641
"Rprl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rprl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
