#1.2							
16155	6						
NAME	Description	A-Erg3	A-Erg4	A-Erg5	A-Nrm4	A-Nrm5	A-Nrm6
ADAM17	NA	3863	2265	2844	4346	3143	1766
ADAM18	NA	0	0	0	0	0	0
ADAM19	NA	942	2503	3066	1350	928	618
ADAM2	NA	0	5	8	1	10	0
ADAM21	NA	18	36	27	6	38	10
ADAM22	NA	146	161	166	570	474	483
ADAM23	NA	75	57	89	713	774	225
ADAM20	NA	0	0	0	0	0	0
ADAM28	NA	63	108	173	292	179	629
ADAM29	NA	0	0	3	1	3	0
ADAM30	NA	7	0	11	21	15	62
ADAM32	NA	3	5	1	3	7	6
ADAM33	NA	195	48	37	1351	833	644
ADAM7	NA	0	1	0	0	1	0
ADAM8	NA	4226	3692	2936	40	53	36
ADAM9	NA	2858	1640	1688	4958	3833	2180
ADAMDEC1	NA	320	160	135	38	54	265
ADAMTS1	NA	3411	1010	837	11188	10412	8280
ADAMTS10	NA	671	967	1120	1547	1555	972
ADAMTS12	NA	242	2	44	591	376	120
ADAMTS13	NA	9	6	4	1	1	0
ADAMTS14	NA	65	66	74	237	208	87
ADAMTS15	NA	509	59	116	1122	1662	539
ADAMTS16	NA	191	13	9	2050	708	599
ADAMTS17	NA	8	1	5	42	47	82
ADAMTS18	NA	1	9	4	2	15	0
ADAMTS19	NA	30	0	3	405	267	115
ADAMTS2	NA	1672	158	148	2772	2506	1206
ADAMTS20	NA	172	2	41	1	21	10
ADAMTS3	NA	519	147	32	1478	1800	557
ADAMTS4	NA	2808	258	450	5842	3631	3989
ADAMTS5	NA	1280	151	164	30883	14374	9679
ADAMTS6	NA	226	216	324	253	162	92
ADAMTS7	NA	310	24	37	106	338	144
ADAMTS8	NA	73	8	22	451	1227	605
ADAMTS9	NA	141	26	33	129	165	125
ADAMTSL1	NA	1664	120	200	4175	4241	1649
ADAMTSL2	NA	11	25	1	299	722	48
ADAMTSL3	NA	115	5	78	1588	753	449
ADAMTSL4	NA	325	134	142	4994	2801	1510
ADAMTSL5	NA	209	1	45	1593	1226	837
ADAP1	NA	164	197	261	75	48	12
ADAP2	NA	1118	660	1042	41	119	295
ADAR	NA	1574	3011	3342	1076	941	603
